UF	SF
molokeɹu	moɹokeɹu
tolodili	tolodili
bunoɹiɹu	bunoɹiɹu
gelonoli	gelonoli
giɹemiɹu	giɹemiɹu
nigiliɹu	nigiliɹu
pumoɹeɹu	pumoɹeɹu
tebiɹoɹu	tebiɹoɹu
dinilili	dinilili
mulimoli	mulimoli
biɹukoli	bilukoli
nuɹutiɹu	nuɹutiɹu
dolubuli	dolubuli
bebulili	bebulili
duɹipiɹu	duɹipiɹu
moɹudoli	moludoli
piniluɹu	piniluɹu
tilomili	tilomili
teɹukeli	telukeli
keɹemeɹu	keɹemeɹu
gupululi	gupululi
tuniliɹu	tuniliɹu
kukiɹiɹu	kukiɹiɹu
kiɹinoli	kilinoli
dukuliɹu	dukuliɹu
puɹumoli	pulumoli
tenuluɹu	tenuluɹu
pepoɹiɹu	pepoɹiɹu
begeɹeli	begeɹeli
kileniɹu	kiɹeniɹu
dukulili	dukulili
tugiɹoli	tugiɹoli
kodolili	kodolili
toboɹeɹu	toboɹeɹu
pepoɹoli	pepoɹoli
gimiɹeli	gimiɹeli
kilenili	kilenili
nuɹegoɹu	nuɹegoɹu
digiɹuɹu	digiɹuɹu
telinoli	telinoli
gitiluli	gitiluli
mepeleɹu	mepeleɹu
kiɹebili	kilebili
nolobili	nolobili
noɹibuli	nolibuli
geɹekuli	gelekuli
gulumuli	gulumuli
pemileɹu	pemileɹu
giɹemili	gilemili
toduɹeli	toduɹeli
golubeɹu	goɹubeɹu
bepelili	bepelili
bopololi	bopololi
nipuleɹu	nipuleɹu
kiɹinoɹu	kiɹinoɹu
milodeli	milodeli
dikuɹiɹu	dikuɹiɹu
meɹonoli	melonoli
nelopiɹu	neɹopiɹu
bipileɹu	bipileɹu
teɹukeɹu	teɹukeɹu
giɹunoli	gilunoli
numiluli	numiluli
pedeloli	pedeloli
noɹigili	noligili
bilegoɹu	biɹegoɹu
niboleli	niboleli
nulobiɹu	nuɹobiɹu
gubuliɹu	gubuliɹu
noɹibuɹu	noɹibuɹu
kediloɹu	kediloɹu
belukoɹu	beɹukoɹu
meɹemuɹu	meɹemuɹu
nipuleli	nipuleli
golubeli	golubeli
kipuloli	kipuloli
milodeɹu	miɹodeɹu
dumiliɹu	dumiliɹu
komileli	komileli
noduɹuɹu	noduɹuɹu
gilodili	gilodili
nelumuli	nelumuli
doɹugiɹu	doɹugiɹu
telinoɹu	teɹinoɹu
gulumuɹu	guɹumuɹu
komileɹu	komileɹu
delikuɹu	deɹikuɹu
