UF	SF
detoLeli	detoleli
dukuLiɹu	dukuɹiɹu
boduLeɹu	boduɹeɹu
bediboli	bediboli
kopigeli	kopigeli
kipuLoɹu	kipuɹoɹu
nuguLeɹu	nuguɹeɹu
buboLuɹu	buboɹuɹu
betogeɹu	betogeɹu
dikubuɹu	dikubuɹu
ninogeɹu	ninogeɹu
munegoli	munegoli
tebiLoli	tebiloli
benomoli	benomoli
temoLuli	temoluli
gonodeli	gonodeli
nuguLeli	nuguleli
digimuli	digimuli
numiLuli	numiluli
tumetili	tumetili
mukobeli	mukobeli
pedeLoli	pedeloli
bepoguɹu	bepoguɹu
mebumeɹu	mebumeɹu
poniLoli	poniloli
potimoɹu	potimoɹu
teniLiɹu	teniɹiɹu
kutomoɹu	kutomoɹu
menemuɹu	menemuɹu
duteLiɹu	duteɹiɹu
ginopili	ginopili
bedogiɹu	bedogiɹu
nideLeli	nideleli
bepeLiɹu	bepeɹiɹu
gubuLiɹu	gubuɹiɹu
bunoLili	bunolili
kegepoɹu	kegepoɹu
piniLuli	piniluli
komiLeli	komileli
mobibuɹu	mobibuɹu
ginopiɹu	ginopiɹu
goduduɹu	goduduɹu
menemuli	menemuli
potimoli	potimoli
mimoLuli	mimoluli
bipiduɹu	bipiduɹu
mobugiɹu	mobugiɹu
dodumoli	dodumoli
dukuLili	dukulili
butuLoɹu	butuɹoɹu
nimipuli	nimipuli
mopudili	mopudili
giguLiɹu	giguɹiɹu
monuneɹu	monuneɹu
numiLuɹu	numiɹuɹu
botopiɹu	botopiɹu
mikekeɹu	mikekeɹu
dugenuli	dugenuli
gokomuli	gokomuli
gikinoɹu	gikinoɹu
numiLuɹu	numiɹuɹu
gimuLuɹu	gimuɹuɹu
begeLeɹu	begeɹeɹu
nigiLili	nigilili
toboLeli	toboleli
poniLoɹu	poniɹoɹu
kodugiɹu	kodugiɹu
ponoLuɹu	ponoɹuɹu
dumiLiɹu	dumiɹiɹu
teniLili	tenilili
dodeneɹu	dodeneɹu
nitetili	nitetili
kopigeɹu	kopigeɹu
begeLeli	begeleli
