UF	SF
dibipeɹu	dibipeɹu
ninedeɹu	ninedeɹu
munegoli	munegoli
teLibuli	teɹibuli
bedogili	bedogili
tebegoli	tebegoli
gokomuli	gokomuli
nuLimuli	nuɹimuli
diLoneli	diɹoneli
nuLimuɹu	nulimuɹu
tudukili	tudukili
mukobeli	mukobeli
peLedoli	peɹedoli
bepoguɹu	bepoguɹu
meLepeɹu	melepeɹu
poLinoli	poɹinoli
potimoɹu	potimoɹu
tegudeɹu	tegudeɹu
kutomoɹu	kutomoɹu
mebumeɹu	mebumeɹu
dupinuɹu	dupinuɹu
gikinoli	gikinoli
beLepoɹu	belepoɹu
niLigili	niɹigili
begetiɹu	begetiɹu
guLupuɹu	gulupuɹu
buLonili	buɹonili
kegepoɹu	kegepoɹu
pinenoli	pinenoli
kodugili	kodugili
moLiteɹu	moliteɹu
gikinoɹu	gikinoɹu
goditiɹu	goditiɹu
mebumeli	mebumeli
potimoli	potimoli
miguneli	miguneli
bipiduɹu	bipiduɹu
mobibuɹu	mobibuɹu
doduboli	doduboli
duLukili	duɹukili
bukikuɹu	bukikuɹu
niLupeli	niɹupeli
monuneli	monuneli
giLumuɹu	gilumuɹu
mokomiɹu	mokomiɹu
nuLoteɹu	nuloteɹu
botopiɹu	botopiɹu
miLomuɹu	milomuɹu
duLimili	duɹimili
goduduli	goduduli
gidekoɹu	gidekoɹu
nuLoteli	nuɹoteli
gidipeɹu	gidipeɹu
beLudeɹu	beludeɹu
niLobeli	niɹobeli
toLimeli	toɹimeli
poLinoɹu	polinoɹu
koLodiɹu	kolodiɹu
poLonuɹu	polonuɹu
dubudoɹu	dubudoɹu
tegudeli	tegudeli
dobekiɹu	dobekiɹu
nitetili	nitetili
kopigeɹu	kopigeɹu
beLudeli	beɹudeli
