UF	SF
dibipeɹu	dibipeɹu
ninedeɹu	ninedeɹu
munegoli	munegoli
teLibuli	telibuli
bedogili	bedogili
tebegoli	tebegoli
gokomuli	gokomuli
nuLimuli	nulimuli
diLoneli	diloneli
nuLimuɹu	nuɹimuɹu
tudukili	tudukili
mukobeli	mukobeli
peLedoli	peledoli
bepoguɹu	bepoguɹu
meLepeɹu	meɹepeɹu
poLinoli	polinoli
potimoɹu	potimoɹu
tegudeɹu	tegudeɹu
kutomoɹu	kutomoɹu
mebumeɹu	mebumeɹu
dupinuɹu	dupinuɹu
gikinoli	gikinoli
beLepoɹu	beɹepoɹu
niLigili	niligili
begetiɹu	begetiɹu
guLupuɹu	guɹupuɹu
buLonili	bulonili
kegepoɹu	kegepoɹu
pinenoli	pinenoli
kodugili	kodugili
moLiteɹu	moɹiteɹu
gikinoɹu	gikinoɹu
goditiɹu	goditiɹu
mebumeli	mebumeli
potimoli	potimoli
miguneli	miguneli
bipiduɹu	bipiduɹu
mobibuɹu	mobibuɹu
doduboli	doduboli
duLukili	dulukili
bukikuɹu	bukikuɹu
niLupeli	nilupeli
monuneli	monuneli
giLumuɹu	giɹumuɹu
mokomiɹu	mokomiɹu
nuLoteɹu	nuɹoteɹu
botopiɹu	botopiɹu
miLomuɹu	miɹomuɹu
duLimili	dulimili
goduduli	goduduli
gidekoɹu	gidekoɹu
nuLoteli	nuloteli
gidipeɹu	gidipeɹu
beLudeɹu	beɹudeɹu
niLobeli	nilobeli
toLimeli	tolimeli
poLinoɹu	poɹinoɹu
koLodiɹu	koɹodiɹu
poLonuɹu	poɹonuɹu
dubudoɹu	dubudoɹu
tegudeli	tegudeli
dobekiɹu	dobekiɹu
nitetili	nitetili
kopigeɹu	kopigeɹu
beLudeli	beludeli
