UF	SF
bunoɹiɹu	bunoɹiɹu
gelonoli	gelonoli
giɹemiɹu	giɹemiɹu
nigiliɹu	nigiɹiɹu
pumoɹeɹu	pumoɹeɹu
tebiɹoɹu	tebiɹoɹu
dinilili	dinilili
mulimoli	mulimoli
biɹukoli	biɹukoli
nuɹutiɹu	nuɹutiɹu
dolubuli	dolubuli
bebulili	bebulili
duɹipiɹu	duɹipiɹu
moɹudoli	moɹudoli
piniluɹu	piniɹuɹu
tilomili	tilomili
teɹukeli	teɹukeli
keɹemeɹu	keɹemeɹu
gupululi	gupululi
tuniliɹu	tuniɹiɹu
kukiɹiɹu	kukiɹiɹu
kiɹinoli	kiɹinoli
dukuliɹu	dukuɹiɹu
puɹumoli	puɹumoli
tenuluɹu	tenuɹuɹu
pepoɹiɹu	pepoɹiɹu
begeɹeli	begeleli
kileniɹu	kileniɹu
dukulili	dukulili
tugiɹoli	tugiloli
kodolili	kodolili
toboɹeɹu	toboɹeɹu
pepoɹoli	pepololi
gimiɹeli	gimileli
kilenili	kilenili
nuɹegoɹu	nuɹegoɹu
digiɹuɹu	digiɹuɹu
telinoli	telinoli
gitiluli	gitiluli
mepeleɹu	mepeɹeɹu
kiɹebili	kiɹebili
nolobili	nolobili
noɹibuli	noɹibuli
geɹekuli	geɹekuli
gulumuli	gulumuli
pemileɹu	pemiɹeɹu
giɹemili	giɹemili
toduɹeli	toduleli
golubeɹu	golubeɹu
bepelili	bepelili
bopololi	bopololi
nipuleɹu	nipuɹeɹu
kiɹinoɹu	kiɹinoɹu
milodeli	milodeli
dikuɹiɹu	dikuɹiɹu
meɹonoli	meɹonoli
nelopiɹu	nelopiɹu
bipileɹu	bipiɹeɹu
teɹukeɹu	teɹukeɹu
giɹunoli	giɹunoli
numiluli	numiluli
pedeloli	pedeloli
noɹigili	noɹigili
bilegoɹu	bilegoɹu
niboleli	niboleli
nulobiɹu	nulobiɹu
gubuliɹu	gubuɹiɹu
noɹibuɹu	noɹibuɹu
kediloɹu	kediɹoɹu
belukoɹu	belukoɹu
meɹemuɹu	meɹemuɹu
nipuleli	nipuleli
golubeli	golubeli
kipuloli	kipuloli
milodeɹu	milodeɹu
dumiliɹu	dumiɹiɹu
komileli	komileli
noduɹuɹu	noduɹuɹu
gilodili	gilodili
nelumuli	nelumuli
doɹugiɹu	doɹugiɹu
telinoɹu	telinoɹu
gulumuɹu	gulumuɹu
komileɹu	komiɹeɹu
delikuɹu	delikuɹu
