UF	SF
nogoLeli	nogoɹeli
detoLeli	detoɹeli
dukuLiɹu	dukuliɹu
boduLeɹu	boduleɹu
bediboli	bediboli
kopigeli	kopigeli
kipuLoɹu	kipuloɹu
nuguLeɹu	nuguleɹu
buboLuɹu	buboluɹu
betogeɹu	betogeɹu
dikubuɹu	dikubuɹu
ninogeɹu	ninogeɹu
munegoli	munegoli
tebiLoli	tebiɹoli
benomoli	benomoli
temoLuli	temoɹuli
gonodeli	gonodeli
nuguLeli	nuguɹeli
digimuli	digimuli
numiLuli	numiɹuli
tumetili	tumetili
mukobeli	mukobeli
pedeLoli	pedeɹoli
bepoguɹu	bepoguɹu
mebumeɹu	mebumeɹu
poniLoli	poniɹoli
potimoɹu	potimoɹu
teniLiɹu	teniliɹu
kutomoɹu	kutomoɹu
menemuɹu	menemuɹu
duteLiɹu	duteliɹu
ginopili	ginopili
bedogiɹu	bedogiɹu
nideLeli	nideɹeli
bepeLiɹu	bepeliɹu
gubuLiɹu	gubuliɹu
bunoLili	bunoɹili
kegepoɹu	kegepoɹu
piniLuli	piniɹuli
komiLeli	komiɹeli
mobibuɹu	mobibuɹu
ginopiɹu	ginopiɹu
goduduɹu	goduduɹu
menemuli	menemuli
potimoli	potimoli
mimoLuli	mimoɹuli
bipiduɹu	bipiduɹu
mobugiɹu	mobugiɹu
dodumoli	dodumoli
dukuLili	dukuɹili
butuLoɹu	butuloɹu
nimipuli	nimipuli
mopudili	mopudili
giguLiɹu	giguliɹu
monuneɹu	monuneɹu
numiLuɹu	numiluɹu
botopiɹu	botopiɹu
mikekeɹu	mikekeɹu
dugenuli	dugenuli
gokomuli	gokomuli
gikinoɹu	gikinoɹu
numiLuɹu	numiluɹu
gimuLuɹu	gimuluɹu
begeLeɹu	begeleɹu
nigiLili	nigiɹili
toboLeli	toboɹeli
poniLoɹu	poniloɹu
kodugiɹu	kodugiɹu
ponoLuɹu	ponoluɹu
dumiLiɹu	dumiliɹu
teniLili	teniɹili
dodeneɹu	dodeneɹu
nitetili	nitetili
kopigeɹu	kopigeɹu
begeLeli	begeɹeli
