uf	pred	sf
yʧDA	yʧde	yʧte
eɰitimDA	eɰitimdɑ	eɰitimde
bɑʃbɑkɑnlHk	bɑʃbɑkɑnlik	bɑʃbɑkɑnlɯk
tiplArH	tiplɑrɯ	tipleri
dyzeltmA	dyzeltmɑ	dyzeltme
jɑkɯnDA	jɑkɯnde	jɑkɯndɑ
bɑʃlɯklH	bɑʃlɯkli	bɑʃlɯklɯ
belirtmA	belirtmɑ	belirtme
sɯnɯrsHz	sɯnɯrsiz	sɯnɯrsɯz
hekimlAr	hekimlɑr	hekimler
kolH	koli	kolu
jɑpHp	jɑpip	jɑpɯp
fijɑtlAr	fijɑtler	fijɑtlɑr
girArAk	girɑrɑk	girerek
verDHklArH	vertɯklɑrɯ	verdikleri
birimlAr	birimlɑr	birimler
kɑrtlArH	kɑrtleri	kɑrtlɑrɯ
gøryntylAr	gøryntylɑr	gøryntyler
kuʃkusHz	kuʃkusiz	kuʃkusuz
kentH	kentɯ	kenti
olɑjlArHn	olɑjlerin	olɑjlɑrɯn
ʧekmA	ʧekmɑ	ʧekme
ɑlɑnDAki	ɑlɑnteki	ɑlɑndɑki
kurulA	kurule	kurulɑ
performɑnsH	performɑnsi	performɑnsɯ
servislArH	servislɑrɯ	servisleri
dyzenlAnAʤAk	dyzenlɑnɑʤɑk	dyzenleneʤek
tɑrihHHn	tɑrihɯɯn	tɑrihiin
devletlArHn	devletlɑrɯn	devletlerin
jollAr	joller	jollɑr
ølʧmA	ølʧmɑ	ølʧme
gørHnʤA	gørɯnʤe	gørynʤe
hɑksHz	hɑksiz	hɑksɯz
myhendislArH	myhendislɑrɯ	myhendisleri
eʃlHk	eʃlɯk	eʃlik
gøzlArH	gøzlɑrɯ	gøzleri
geʧmA	geʧmɑ	geʧme
tɯklAArAk	tɯkleerek	tɯklɑɑrɑk
tɑrzH	tɑrzi	tɑrzɯ
tuʃH	tuʃɯ	tuʃu
ʃejA	ʃejɑ	ʃeje
sonsHz	sonsɯz	sonsuz
jɑpmADA	jɑpmɑdɑ	jɑpmɑtɑ
problemlAr	problemlɑr	problemler
deɰerlendirmA	deɰerlendirmɑ	deɰerlendirme
bilgisɑjɑrlAr	bilgisɑjɑrler	bilgisɑjɑrlɑr
dikkɑtH	dikkɑtɯ	dikkɑti
hɑzɯrlAr	hɑzɯrler	hɑzɯrlɑr
sistemlArHn	sistemlɑrɯn	sistemlerin
øzellHklArA	øzelliklɑrɑ	øzelliklere
jɑzmA	jɑzme	jɑzmɑ
isimlArH	isimlɑrɯ	isimleri
doɰumlH	doɰumli	doɰumlu
bølymlAr	bølymlɑr	bølymler
dujgusAl	dujgusel	dujgusɑl
kimlAr	kimlɑr	kimler
ʧoʤuklHk	ʧoʤuklik	ʧoʤukluk
hedeflArH	hedeflɑrɯ	hedefleri
jɑtAn	jɑten	jɑtɑn
erkeklAr	erkeklɑr	erkekler
iʃlArDA	iʃlɑrdɑ	iʃlerde
isteklArH	isteklɑrɯ	istekleri
ʃɑnsH	ʃɑnsi	ʃɑnsɯ
øzellHklArHHn	øzelliklɑrɯɯn	øzellikleriin
ʃejDAn	ʃejdɑn	ʃejden
dolɑrlHk	dolɑrlik	dolɑrlɯk
ʧɯkHp	ʧɯkip	ʧɯkɯp
kɑrɑrlH	kɑrɑrli	kɑrɑrlɯ
bølymHn	bølymin	bølymyn
ɑjɑrlArH	ɑjɑrleri	ɑjɑrlɑrɯ
jykH	jyki	jyky
kɑjnɑklH	kɑjnɑkli	kɑjnɑklɯ
okullAr	okuller	okullɑr
tɑbloH	tɑbloi	tɑblou
syreʧDA	syreʧde	syreʧte
seslArH	seslɑrɯ	sesleri
iʧmA	iʧmɑ	iʧme
mɑllAr	mɑller	mɑllɑr
fɑɑlijetlArHHn	fɑɑlijetlɑrɯɯn	fɑɑlijetleriin
tɑmɑmlAAn	tɑmɑmleen	tɑmɑmlɑɑn
ɑnɑlizlArH	ɑnɑlizlɑrɯ	ɑnɑlizleri
søzlArH	søzlɑrɯ	søzleri
yretimA	yretimɑ	yretime
bølymHHn	bølymɯɯn	bølymyyn
rɑporHn	rɑporin	rɑporun
tytynHn	tytynin	tytynyn
sɯkʧA	sɯkʧe	sɯkʧɑ
sɑnɑtlAr	sɑnɑtler	sɑnɑtlɑr
zɑmɑnlH	zɑmɑnli	zɑmɑnlɯ
hekimlArHn	hekimlɑrɯn	hekimlerin
plɑnlH	plɑnli	plɑnlɯ
polislAr	polislɑr	polisler
jɑzɑrlAr	jɑzɑrler	jɑzɑrlɑr
kullAnHʤHA	kullɑnɯʤie	kullɑnɯʤɯɑ
vermADAn	vermɑden	vermeden
jyklH	jykli	jykly
bɑʃlɑmADAn	bɑʃlɑmɑden	bɑʃlɑmɑdɑn
sɑhiplArHHn	sɑhiplɑrɯɯn	sɑhipleriin
gøzlAr	gøzlɑr	gøzler
teminH	teminɯ	temini
kyresAllAʃmA	kyresellɑʃmɑ	kyreselleʃme
ønlemlArH	ønlemlɑrɯ	ønlemleri
dolɑjlH	dolɑjli	dolɑjlɯ
jɑrɑtAn	jɑrɑten	jɑrɑtɑn
bulunmADA	bulunmɑdɑ	bulunmɑtɑ
hukukHn	hukukin	hukukun
nyfusHn	nyfusɯn	nyfusun
kɑplH	kɑpli	kɑplɯ
nolH	noli	nolu
sɑklH	sɑkli	sɑklɯ
ʧoklH	ʧokli	ʧoklu
derneklAr	derneklɑr	dernekler
geʤikmA	geʤikmɑ	geʤikme
ɑlmADAn	ɑlmɑden	ɑlmɑdɑn
hɑtlArH	hɑtleri	hɑtlɑrɯ
kurullArH	kurulleri	kurullɑrɯ
dinlenmA	dinlenmɑ	dinlenme
øɰretmenlArHn	øɰretmenlɑrɯn	øɰretmenlerin
dyzejA	dyzejɑ	dyzeje
gøndermA	gøndermɑ	gønderme
okullArH	okulleri	okullɑrɯ
bølymA	bølymɑ	bølyme
tytynlAr	tytynlɑr	tytynler
ɑjdɯnlHk	ɑjdɯnlik	ɑjdɯnlɯk
bojutlArH	bojutleri	bojutlɑrɯ
hedeflAr	hedeflɑr	hedefler
kitɑpDA	kitɑpde	kitɑptɑ
søzlAr	søzlɑr	søzler
deɰerlendirmAH	deɰerlendirmɑɯ	deɰerlendirmei
kiʃilArDA	kiʃilerdɑ	kiʃilerde
bɑɰɯmsɯzlHk	bɑɰɯmsɯzlik	bɑɰɯmsɯzlɯk
iʃlemlArHHn	iʃlemlɑrɯɯn	iʃlemleriin
jyryHʃ	jyryɯʃ	jyryyʃ
ɑrɑpʧA	ɑrɑpʧe	ɑrɑpʧɑ
køjHn	køjin	køjyn
sojɑdH	sojɑdi	sojɑdɯ
memurlArH	memurleri	memurlɑrɯ
etmADAn	etmɑden	etmeden
fotoɰrɑfH	fotoɰrɑfi	fotoɰrɑfɯ
stɑndɑrtlAr	stɑndɑrtler	stɑndɑrtlɑr
ølAn	ølɑn	ølen
byroH	byroi	byrou
desteklAr	desteklɑr	destekler
izlAr	izlɑr	izler
kolɑjlHk	kolɑjlik	kolɑjlɯk
birliklArH	birliklɑrɯ	birlikleri
kɑbulH	kɑbulu	kɑbuly
kurulmHz	kurulmiz	kurulmuz
sɯrɑDAn	sɯrɑden	sɯrɑdɑn
getirArAk	getirɑrɑk	getirerek
dyʃynmA	dyʃynmɑ	dyʃynme
gerʧeklAʃmAH	gerʧeklɑʃmɑɯ	gerʧekleʃmei
resimlAr	resimlɑr	resimler
tɑʃɯHʤH	tɑʃɯiʤi	tɑʃɯɯʤɯ
kɑjɯtlAr	kɑjɯtler	kɑjɯtlɑr
ɑslH	ɑsli	ɑslɯ
resimlArH	resimlɑrɯ	resimleri
tɑsɑrrufH	tɑsɑrrufi	tɑsɑrrufu
derslArA	derslɑrɑ	derslere
tɑrihlArDA	tɑrihlɑrdɑ	tɑrihlerde
kendimA	kendimɑ	kendime
ʧekmA	ʧekmɑ	ʧekme
ɑrɑDAn	ɑrɑden	ɑrɑdɑn
dostlHk	dostlik	dostluk
kursH	kursi	kursu
metinlAr	metinlɑr	metinler
geliʃmAlArHn	geliʃmɑlɑrɯn	geliʃmelerin
sɯnɯfDA	sɯnɯfde	sɯnɯftɑ
erkeklArDA	erkeklɑrdɑ	erkeklerde
kɑdroH	kɑdroi	kɑdrou
kurumHHn	kurumɯɯn	kurumuun
tɑhminH	tɑhminɯ	tɑhmini
topDAn	topden	toptɑn
onɑjlH	onɑjli	onɑjlɯ
gelmA	gelmɑ	gelme
seklHnDA	seklɯnde	seklinde
jɑzAn	jɑzen	jɑzɑn
kontrollH	kontrolli	kontrolly
tesislArHn	tesislɑrɯn	tesislerin
gøryntylArH	gøryntylɑrɯ	gøryntyleri
jɯllArDAn	jɯllɑrden	jɯllɑrdɑn
hykymlArA	hykymlɑrɑ	hykymlere
kejiflH	kejiflɯ	kejifli
olAbilmA	olɑbilmɑ	olɑbilme
sɑɰlɑArAk	sɑɰlɑerek	sɑɰlɑɑrɑk
ɑltDA	ɑltde	ɑlttɑ
kɑjnɑklArDAn	kɑjnɑklɑrden	kɑjnɑklɑrdɑn
menyH	menyi	menyy
derslArDAn	derslɑrden	derslerden
motorlH	motorli	motorlu
jɑʃDA	jɑʃte	jɑʃtɑ
renklArH	renklɑrɯ	renkleri
notlArH	notleri	notlɑrɯ
sɯnɑvlArH	sɯnɑvleri	sɯnɑvlɑrɯ
modylH	modyli	modyly
ʃirketlArHHn	ʃirketlɑrɯɯn	ʃirketleriin
tɑrɑfHn	tɑrɑfin	tɑrɑfɯn
tɑrzDA	tɑrzde	tɑrzdɑ
sɑnɑtlArH	sɑnɑtleri	sɑnɑtlɑrɯ
kollArH	kolleri	kollɑrɯ
miktɑrlArH	miktɑrleri	miktɑrlɑrɯ
sendromH	sendromi	sendromu
unsurH	unsuri	unsuru
durumHHn	durumɯɯn	durumuun
sɯnɑvlAr	sɯnɑvler	sɯnɑvlɑr
sɑtAn	sɑten	sɑtɑn
ɑlmADA	ɑlmɑdɑ	ɑlmɑtɑ
køjDA	køjdɑ	køjde
plɑtformH	plɑtformi	plɑtformu
gørmAH	gørmɑɯ	gørmei
sorumlHlHklArH	sorumlɯlɯklɑrɯ	sorumluluklɑrɯ
prensiplArH	prensiplɑrɯ	prensipleri
olDHkDAn	oldikten	olduktɑn
deɰiʃiklHklArHn	deɰiʃikliklɑrɯn	deɰiʃikliklerin
fɑɑlijetDA	fɑɑlijetde	fɑɑlijette
bɑsɯnDA	bɑsɯnde	bɑsɯndɑ
gyʧlArH	gyʧlɑrɯ	gyʧleri
bojutDA	bojutde	bojuttɑ
gerʧeklArH	gerʧeklɑrɯ	gerʧekleri
girmA	girmɑ	girme
jɑrɑrlAnArAk	jɑrɑrlenerek	jɑrɑrlɑnɑrɑk
zihinsAl	zihinsɑl	zihinsel
ʧɑlɯʃmAlArmHz	ʧɑlɯʃmɑlɑrmiz	ʧɑlɯʃmɑlɑrmɯz
bɑjɯndɯrlHk	bɑjɯndɯrlik	bɑjɯndɯrlɯk
ørgytHn	ørgytɯn	ørgytyn
ɑʧɯklHk	ɑʧɯklik	ɑʧɯklɯk
bildirmA	bildirmɑ	bildirme
deɰiʃmAH	deɰiʃmɑɯ	deɰiʃmei
ɑmɑʧlAAn	ɑmɑʧleen	ɑmɑʧlɑɑn
servislAr	servislɑr	servisler
gøndermA	gøndermɑ	gønderme
gøstermAH	gøstermɑɯ	gøstermei
suʧH	suʧi	suʧu
zɑmɑnDAn	zɑmɑnden	zɑmɑndɑn
yretimDA	yretimdɑ	yretimde
bɑɰlɑAn	bɑɰlɑen	bɑɰlɑɑn
konferɑnsH	konferɑnsi	konferɑnsɯ
mydyrlyklArH	mydyrlyklɑrɯ	mydyrlykleri
mɑllArH	mɑlleri	mɑllɑrɯ
jyrytmA	jyrytmɑ	jyrytme
deɰerlendirmAA	deɰerlendirmɑɑ	deɰerlendirmee
gøryʃlAr	gøryʃlɑr	gøryʃler
dɑllArH	dɑlleri	dɑllɑrɯ
ijilAʃmA	ijileʃmɑ	ijileʃme
kɑrɑrlArHn	kɑrɑrlerin	kɑrɑrlɑrɯn
ojunHn	ojunin	ojunun
sɯnɑvDA	sɯnɑvde	sɯnɑvdɑ
sorunHHn	soruniin	sorunuun
topH	topɯ	topu
ylkeDAki	ylketeki	ylkedeki
ɑdreslArH	ɑdreslɑrɯ	ɑdresleri
ɑkHʃ	ɑkiʃ	ɑkɯʃ
hɑlkmHzHn	hɑlkmizin	hɑlkmɯzɯn
ɑʧArAk	ɑʧerek	ɑʧɑrɑk
miktɑrlArDA	miktɑrlerdɑ	miktɑrlɑrdɑ
tesislArHHn	tesislɑrɯɯn	tesisleriin
engellAmA	engellɑmɑ	engelleme
nedenlAr	nedenlɑr	nedenler
kimA	kimɑ	kime
genʧlArA	genʧlɑrɑ	genʧlere
protokolH	protokoli	protokoly
rɑhɑtʧA	rɑhɑtʧe	rɑhɑtʧɑ
suretDA	suretde	surette
gørHp	gørup	gøryp
hɑvuzH	hɑvuzi	hɑvuzu
kɑnɑllArH	kɑnɑlleri	kɑnɑllɑrɯ
olHʃH	oluʃɯ	oluʃu
ɑrkɑdɑʃlArmHz	ɑrkɑdɑʃlɑrmiz	ɑrkɑdɑʃlɑrmɯz
olAbilmAH	olɑbilmɑɯ	olɑbilmei
bɑʃlɑHp	bɑʃlɑip	bɑʃlɑɯp
ihtimɑlH	ihtimɑlɯ	ihtimɑli
kɯsɯtlH	kɯsɯtli	kɯsɯtlɯ
kɑnlH	kɑnli	kɑnlɯ
dønHp	dønip	dønyp
dønmA	dønmɑ	dønme
renklAr	renklɑr	renkler
kurulDA	kurulde	kuruldɑ
ørgytlArHHn	ørgytlɑrɯɯn	ørgytleriin
nyfusHHn	nyfusɯɯn	nyfusuun
sɑnɑtDA	sɑnɑtte	sɑnɑttɑ
jɑpAbilmA	jɑpɑbilmɑ	jɑpɑbilme
vermADA	vermɑdɑ	vermete
durumDAn	durumden	durumdɑn
geʧmADAn	geʧmɑden	geʧmeden
hedeflArA	hedeflɑrɑ	hedeflere
pɑrkH	pɑrki	pɑrkɯ
ɑlDHkDAn	ɑltikten	ɑldɯktɑn
hɑzɯrlAAn	hɑzɯrleen	hɑzɯrlɑɑn
zorlHk	zorlik	zorluk
bɯrɑkHp	bɯrɑkip	bɯrɑkɯp
dyʃynmA	dyʃynmɑ	dyʃynme
internetDA	internetde	internette
seʧeneklAr	seʧeneklɑr	seʧenekler
seʧimlAr	seʧimlɑr	seʧimler
uzɑkDA	uzɑkte	uzɑktɑ
dyʃmAH	dyʃmɑɯ	dyʃmei
