uf	pred	sf
sɑɰA	sɑɰe	sɑɰɑ
solA	sole	solɑ
ɑrkɑDAn	ɑrkɑden	ɑrkɑdɑn
puɑnH	puɑni	puɑnɯ
rɑdjoH	rɑdjoi	rɑdjou
tɑblɑH	tɑblɑi	tɑblɑɯ
ʧorbɑDAn	ʧorbɑden	ʧorbɑdɑn
sɑʧlH	sɑʧli	sɑʧlɯ
kɑrɑnlɯkDA	kɑrɑnlɯkte	kɑrɑnlɯktɑ
ɑrɑbɑmH	ɑrɑbɑmi	ɑrɑbɑmɯ
sokɑklArDAn	sokɑklerden	sokɑklɑrdɑn
bluzH	bluzi	bluzu
tɑʃlAr	tɑʃler	tɑʃlɑr
bɑʃkɑH	bɑʃkɑi	bɑʃkɑɯ
ojnɑmAnH	ojnɑmeni	ojnɑmɑnɯ
jorgɑnH	jorgɑni	jorgɑnɯ
ɯsɯrmAA	ɯsɯrmee	ɯsɯrmɑɑ
oɰlɑnH	oɰlɑni	oɰlɑnɯ
ʧɑtɑllAr	ʧɑtɑller	ʧɑtɑllɑr
ɑslɑnlAr	ɑslɑnler	ɑslɑnlɑr
ɑjɑklArHHn	ɑjɑkleriin	ɑjɑklɑrɯɯn
mɑjmunlAr	mɑjmunler	mɑjmunlɑr
domuzH	domuzi	domuzu
ʧoʤuklArA	ʧoʤuklere	ʧoʤuklɑrɑ
bɑɰlH	bɑɰli	bɑɰlɯ
bɑnjoDA	bɑnjode	bɑnjodɑ
olArAk	olerek	olɑrɑk
hɑlɑnH	hɑlɑni	hɑlɑnɯ
telefonHn	telefonin	telefonun
ɑdlArH	ɑdleri	ɑdlɑrɯ
konHʃ	koniʃ	konuʃ
kitɑplArH	kitɑpleri	kitɑplɑrɯ
ɑrkɑdɑʃnHz	ɑrkɑdɑʃniz	ɑrkɑdɑʃnɯz
pɑrkHn	pɑrkin	pɑrkɯn
ʧoʤuklArHn	ʧoʤuklerin	ʧoʤuklɑrɯn
televizjonH	televizjoni	televizjonu
bonʤuklAr	bonʤukler	bonʤuklɑr
sofrɑDA	sofrɑde	sofrɑdɑ
sɑklɑmAA	sɑklɑmee	sɑklɑmɑɑ
mutDA	mutte	muttɑ
ojnɑAʤAklAr	ojnɑɑʤekler	ojnɑɑʤɑklɑr
uzɑkDA	uzɑkte	uzɑktɑ
bɯrɑkHp	bɯrɑkup	bɯrɑkɯp
duvɑrDA	duvɑrde	duvɑrdɑ
ɑsɯlH	ɑsɯli	ɑsɯlɯ
ʃɑpkɑHn	ʃɑpkɑin	ʃɑpkɑɯn
ojunʤɑkʧHDAn	ojunʤɑkʧiden	ojunʤɑkʧɯdɑn
ɑlHp	ɑlup	ɑlɯp
dɑdɯsHz	dɑdɯsiz	dɑdɯsɯz
toplArHn	toplerin	toplɑrɯn
sojɑdHn	sojɑdin	sojɑdɯn
ʧɑrʃɯDA	ʧɑrʃɯde	ʧɑrʃɯdɑ
bɑkkɑlDAn	bɑkkɑlden	bɑkkɑldɑn
ʤɑmHn	ʤɑmin	ʤɑmɯn
kɑʧnʤH	kɑʧnʤi	kɑʧnʤɯ
soɰukDA	soɰukde	soɰuktɑ
kɯlH	kɯli	kɯlɯ
kitɑplArHn	kitɑplerin	kitɑplɑrɯn
kɑzHn	kɑzin	kɑzɯn
pɑstɑH	pɑstɑi	pɑstɑɯ
syrHp	syrup	syryp
mɑmɑlArH	mɑmɑleri	mɑmɑlɑrɯ
korkAʤAk	korkeʤek	korkɑʤɑk
odɑmDAn	odɑmden	odɑmdɑn
olmAH	olmei	olmɑɯ
tokɑlAr	tokɑler	tokɑlɑr
ɑjɯlAr	ɑjɯler	ɑjɯlɑr
ɑɰɑʧlArA	ɑɰɑʧlere	ɑɰɑʧlɑrɑ
ɑjHn	ɑjin	ɑjɯn
hɑnɯmA	hɑnɯme	hɑnɯmɑ
bɯjɯklArH	bɯjɯkleri	bɯjɯklɑrɯ
mumlAr	mumler	mumlɑr
ɑrkɑDAki	ɑrkɑdeki	ɑrkɑdɑki
ortɑlArDA	ortɑlerde	ortɑlɑrdɑ
ɑrɑbɑHn	ɑrɑbɑin	ɑrɑbɑɯn
jolDA	jolde	joldɑ
jɑpmɑmH	jɑpmɑmi	jɑpmɑmɯ
kojmAmH	kojmemi	kojmɑmɯ
ɑrɑbɑlArm	ɑrɑbɑlerm	ɑrɑbɑlɑrm
ɑrɑbɑlArA	ɑrɑbɑlere	ɑrɑbɑlɑrɑ
tɑbɯʃkɑnA	tɑbɯʃkɑne	tɑbɯʃkɑnɑ
uzɑkDAn	uzɑkten	uzɑktɑn
sønDHkDAn	søndikten	søndykten
kulɑklArH	kulɑkleri	kulɑklɑrɯ
ɑmʤɑH	ɑmʤɑi	ɑmʤɑɯ
sɑʧlArm	sɑʧlerm	sɑʧlɑrm
mikrofonA	mikrofone	mikrofonɑ
vɑpurDAn	vɑpurden	vɑpurdɑn
ɑʧmA	ɑʧme	ɑʧmɑ
mɑsɑlnH	mɑsɑlni	mɑsɑlnɯ
bɑbɑHnki	bɑbɑinki	bɑbɑɯnki
kɑmjonDA	kɑmjonde	kɑmjondɑ
ɯʃɯklArH	ɯʃɯkleri	ɯʃɯklɑrɯ
dɑvulHn	dɑvulin	dɑvulun
ujkunH	ujkuni	ujkunu
tɑhtɑlArHn	tɑhtɑlerin	tɑhtɑlɑrɯn
ortɑDAn	ortɑden	ortɑdɑn
kovɑlArH	kovɑleri	kovɑlɑrɯ
kovAn	koven	kovɑn
bɑntHn	bɑntin	bɑntɯn
ʧɑrpɑnH	ʧɑrpɑni	ʧɑrpɑnɯ
ɑrɑbɑHHn	ɑrɑbɑiin	ɑrɑbɑɯɯn
bɑʃmHzA	bɑʃmize	bɑʃmɯzɑ
tulumHn	tulumin	tulumun
hɑlɑDA	hɑlɑde	hɑlɑdɑ
sønHnʤA	søninʤe	sønynʤe
sɑʧlArH	sɑʧleri	sɑʧlɑrɯ
tɑbɑklArH	tɑbɑkleri	tɑbɑklɑrɯ
jumurtɑlH	jumurtɑli	jumurtɑlɯ
ɑhbɑplHk	ɑhbɑplik	ɑhbɑplɯk
orɑlArA	orɑlere	orɑlɑrɑ
kenɑrA	kenɑre	kenɑrɑ
kebɑpʧHA	kebɑpʧie	kebɑpʧɯɑ
hɑnɯmH	hɑnɯmi	hɑnɯmɯ
domuzA	domuze	domuzɑ
hɑjvɑnsHz	hɑjvɑnsiz	hɑjvɑnsɯz
binHp	binup	binip
ʧɑntɑmDAn	ʧɑntɑmden	ʧɑntɑmdɑn
okuAlHm	okuɑlim	okuɑlɯm
hɯrkɑlHH	hɯrkɑlii	hɯrkɑlɯɯ
ʧɯkHp	ʧɯkup	ʧɯkɯp
televizjonnHz	televizjonniz	televizjonnuz
ɑrɑbɑmHzHn	ɑrɑbɑmizin	ɑrɑbɑmɯzɯn
mɑrkɑH	mɑrkɑi	mɑrkɑɯ
bɑʃH	bɑʃi	bɑʃɯ
sɑʧHn	sɑʧin	sɑʧɯn
ɑhA	ɑhe	ɑhɑ
ʧɑlmA	ʧɑlme	ʧɑlmɑ
ɑmʤɑnHzA	ɑmʤɑnize	ɑmʤɑnɯzɑ
silofonH	silofoni	silofonu
ɑrkɑmDA	ɑrkɑmde	ɑrkɑmdɑ
dɑvrɑnmAA	dɑvrɑnmee	dɑvrɑnmɑɑ
kɑmerɑH	kɑmerɑi	kɑmerɑɯ
kɑlkmA	kɑlkme	kɑlkmɑ
kudurmA	kudurme	kudurmɑ
tɑrɑfDA	tɑrɑfte	tɑrɑftɑ
mɑmɑDA	mɑmɑde	mɑmɑdɑ
hɑvɑDAn	hɑvɑden	hɑvɑdɑn
burɑDAkilAr	burɑdekiler	burɑdɑkiler
tɑrɑfDAn	tɑrɑften	tɑrɑftɑn
jɑnDAn	jɑnden	jɑndɑn
bulmAm	bulmem	bulmɑm
bɑʃDAn	bɑʃten	bɑʃtɑn
bunlArHDA	bunleride	bunlɑrɯdɑ
tɑkɑlH	tɑkɑli	tɑkɑlɯ
ɑjɑkkɑbɯlArHDA	ɑjɑkkɑbɯleride	ɑjɑkkɑbɯlɑrɯdɑ
syslH	sysli	sysly
ɑɰlɑArAk	ɑɰlɑɑrek	ɑɰlɑɑrɑk
oturmA	oturme	oturmɑ
ʧɯrpAlHm	ʧɯrpelim	ʧɯrpɑlɯm
mɑmɑmH	mɑmɑmi	mɑmɑmɯ
kovbojlAr	kovbojler	kovbojlɑr
kɑpɑklH	kɑpɑkli	kɑpɑklɯ
ɑjɑkkɑbɯnH	ɑjɑkkɑbɯni	ɑjɑkkɑbɯnɯ
sɑklɑAlH	sɑklɑɑli	sɑklɑɑlɯ
sɑklɑmA	sɑklɑme	sɑklɑmɑ
sijɑhH	sijɑhi	sijɑhɯ
ɑjA	ɑje	ɑjɑ
sɑbɑhHn	sɑbɑhin	sɑbɑhɯn
bɑʃlɯklH	bɑʃlɯkli	bɑʃlɯklɯ
ruʒmH	ruʒmi	ruʒmu
okA	oke	okɑ
søzmH	søzmi	søzmy
ɑnɑhtɑrH	ɑnɑhtɑri	ɑnɑhtɑrɯ
tɑtlHm	tɑtlim	tɑtlɯm
sɑrɯmH	sɑrɯmi	sɑrɯmɯ
kɑtlɑmAnA	kɑtlɑmene	kɑtlɑmɑnɑ
mɑmɑlAr	mɑmɑler	mɑmɑlɑr
jɑnmDAn	jɑnmden	jɑnmdɑn
sɑʧmDA	sɑʧmde	sɑʧmdɑ
jɑtAlHm	jɑtelim	jɑtɑlɯm
sɑrɯlmA	sɑrɯlme	sɑrɯlmɑ
kɯzHn	kɯzin	kɯzɯn
jɑnɑkDAn	jɑnɑkten	jɑnɑktɑn
ʧɑntɑnH	ʧɑntɑni	ʧɑntɑnɯ
hɑvɑlAr	hɑvɑler	hɑvɑlɑr
tɯrnɑklArH	tɯrnɑkleri	tɯrnɑklɑrɯ
ʤɑnmH	ʤɑnmi	ʤɑnmɯ
poponA	popone	poponɑ
dønHp	dønup	dønyp
kolHn	kolin	kolun
bɑʃlAAlHm	bɑʃleelim	bɑʃlɑɑlɯm
mɑjmunHn	mɑjmunin	mɑjmunun
mɑjmunDA	mɑjmunde	mɑjmundɑ
