uf	pred	sf
ɑlmADAn	ɑlmɑdɑn	ɑlmɑtɑn
girmAH	girmɑɯ	girmei
øteDAn	øteten	øteden
normɑlDAn	normɑldɑn	normɑlden
sembollAr	sembollɑr	semboller
jɑpAbilmAH	jɑpɑbilmɑɯ	jɑpɑbilmei
imɑʒH	imɑʒi	imɑʒɯ
kullɑnmADAn	kullɑnmɑdɑn	kullɑnmɑtɑn
sinjɑllArH	sinjɑllɑrɯ	sinjɑlleri
jɑrɯDA	jɑrɯtɑ	jɑrɯdɑ
dikkɑtnHzH	dikkɑtnɯzɯ	dikkɑtnizi
evreDA	evrete	evrede
verilArHHn	verilɑrɯɯn	verileriin
kontrolA	kontrolɑ	kontrole
tɑnɯDA	tɑnɯtɑ	tɑnɯdɑ
rollArH	rollɑrɯ	rolleri
jɑʃɑmADA	jɑʃɑmɑdɑ	jɑʃɑmɑtɑ
poliʧeDA	poliʧete	poliʧede
bildiriDA	bildirite	bildiride
dyʃynmADAn	dyʃynmeten	dyʃynmeden
metɑllAr	metɑllɑr	metɑller
sɑldɯrɯDA	sɑldɯrɯtɑ	sɑldɯrɯdɑ
sɑntrɑlH	sɑntrɑlɯ	sɑntrɑli
sɑpH	sɑpi	sɑpɯ
jøreDAki	jøreteki	jøredeki
ɑlɯnmADA	ɑlɯnmɑdɑ	ɑlɯnmɑtɑ
hɑvɑDAki	hɑvɑdeki	hɑvɑdɑki
kesinlAʃAn	kesinlɑʃɑn	kesinleʃen
servislArHHn	servislɑrɯɯn	servisleriin
demADAn	demeten	demeden
fotoɰrɑfʧHlAr	fotoɰrɑfʧiler	fotoɰrɑfʧɯlɑr
bulmADA	bulmɑdɑ	bulmɑtɑ
dikkɑtlArH	dikkɑtlɑrɯ	dikkɑtleri
hɑlsHzlHk	hɑlsɯzlɯk	hɑlsizlik
mɑterjɑllArH	mɑterjɑllɑrɯ	mɑterjɑlleri
protokollAr	protokollɑr	protokoller
deriDA	derite	deride
kytyphɑneDAn	kytyphɑneten	kytyphɑneden
toplɑntɯDAn	toplɑntɯtɑn	toplɑntɯdɑn
ɑlAbilmAH	ɑlɑbilmɑɯ	ɑlɑbilmei
kɑtɯlDHklArH	kɑtɯltɯklɑrɯ	kɑtɯldɯklɑrɯ
menfɑɑtlArH	menfɑɑtlɑrɯ	menfɑɑtleri
ʧɑɰrɯDA	ʧɑɰrɯtɑ	ʧɑɰrɯdɑ
metɑllArHn	metɑllɑrɯn	metɑllerin
oluʃmADA	oluʃmɑdɑ	oluʃmɑtɑ
sɑɑtHn	sɑɑtɯn	sɑɑtin
ʧɑlɯʃmAlArmHzDA	ʧɑlɯʃmɑlermizde	ʧɑlɯʃmɑlɑrmɯzdɑ
ødemADA	ødemete	ødemede
bɑʃmHzA	bɑʃmize	bɑʃmɯzɑ
sɑɰlɑDHklArH	sɑɰlɑtɯklɑrɯ	sɑɰlɑdɯklɑrɯ
øɰrenʤiDAn	øɰrenʤiten	øɰrenʤiden
ʃehirlArɑrɑsɯ	ʃehirlɑrɑrɑsɯ	ʃehirlerɑrɑsɯ
kirlAnmAH	kirlɑnmɑɯ	kirlenmei
mɑhɑlleDA	mɑhɑllete	mɑhɑllede
mɑmullArH	mɑmullɑrɯ	mɑmulleri
sɑjfɑDAki	sɑjfɑdeki	sɑjfɑdɑki
sinjɑllAr	sinjɑllɑr	sinjɑller
bitmAH	bitmɑɯ	bitmei
doɰuDAn	doɰutɑn	doɰudɑn
ekiplArHHn	ekiplɑrɯɯn	ekipleriin
miktɑrDAki	miktɑrdeki	miktɑrdɑki
odɑmHzA	odɑmize	odɑmɯzɑ
usullArA	usullɑrɑ	usullere
zirveDA	zirvete	zirvede
ʧɑlɯʃmADAn	ʧɑlɯʃmɑdɑn	ʧɑlɯʃmɑtɑn
ɑrkɑdɑʃlArmHzA	ɑrkɑdɑʃlermize	ɑrkɑdɑʃlɑrmɯzɑ
kɑdemeDA	kɑdemete	kɑdemede
myhendislArHHn	myhendislɑrɯɯn	myhendisleriin
terminɑllArH	terminɑllɑrɯ	terminɑlleri
ɑdɑDAki	ɑdɑdeki	ɑdɑdɑki
beʤerilArHHn	beʤerilɑrɯɯn	beʤerileriin
hɑstɑneDAn	hɑstɑneten	hɑstɑneden
kontrolHHn	kontroluun	kontrolyyn
rolA	rolɑ	role
tɑbloDAki	tɑbloteki	tɑblodɑki
bɑʃlAnAʤAk	bɑʃlɑneʤek	bɑʃlɑnɑʤɑk
dikkɑtmH	dikkɑtmɯ	dikkɑtmi
ekonomiDAn	ekonomiten	ekonomiden
endystriDA	endystrite	endystride
geʧirmAH	geʧirmɑɯ	geʧirmei
kɑzɑnDHklArH	kɑzɑntɯklɑrɯ	kɑzɑndɯklɑrɯ
kesimlArHHn	kesimlɑrɯɯn	kesimleriin
metreDAn	metreten	metreden
pɑrtiDAn	pɑrtiten	pɑrtiden
byroDA	byrotɑ	byrodɑ
deɰerlendirmAHn	deɰerlendirmɑɯn	deɰerlendirmein
etmADA	etmete	etmede
etmAHHn	etmɑɯɯn	etmeiin
geniʃlAmAH	geniʃlɑmɑɯ	geniʃlemei
iʃʧilArHHn	iʃʧilɑrɯɯn	iʃʧileriin
ithɑlH	ithɑlɯ	ithɑli
teknoloʒiDA	teknoloʒite	teknoloʒide
ujɑrɯDA	ujɑrɯtɑ	ujɑrɯdɑ
øneriDA	ønerite	øneride
sɑɑtlArHHn	sɑɑtlɑrɯɯn	sɑɑtleriin
ʧɑlɯʃmAlArmHzA	ʧɑlɯʃmɑlermize	ʧɑlɯʃmɑlɑrmɯzɑ
ʧizgiDA	ʧizgite	ʧizgide
belgeDA	belgete	belgede
isimlArHHn	isimlɑrɯɯn	isimleriin
kɑlmADA	kɑlmɑdɑ	kɑlmɑtɑ
mɑhkemeDAn	mɑhkemeten	mɑhkemeden
jineDA	jinete	jinede
ønerilArHHn	ønerilɑrɯɯn	ønerileriin
beklentilArHHn	beklentilɑrɯɯn	beklentileriin
bitmADAn	bitmeten	bitmeden
doɰɑDAki	doɰɑdeki	doɰɑdɑki
mɑterjɑllArHn	mɑterjɑllɑrɯn	mɑterjɑllerin
proʒeDAn	proʒeten	proʒeden
sokɑkDAki	sokɑkteki	sokɑktɑki
sunmADA	sunmɑdɑ	sunmɑtɑ
teknoloʒiDAn	teknoloʒiten	teknoloʒiden
jolDAki	joldeki	joldɑki
gɑjrimenkullArHn	gɑjrimenkullɑrɯn	gɑjrimenkullerin
hyʤreDA	hyʤrete	hyʤrede
okuDHkDAn	okutykten	okuduktɑn
siteDAn	siteten	siteden
tɑʃɯDHklArH	tɑʃɯtɯklɑrɯ	tɑʃɯdɯklɑrɯ
hɑjɑtmHzA	hɑjɑtmize	hɑjɑtmɯzɑ
iʃtirɑkH	iʃtirɑkɯ	iʃtirɑki
kontrolsHz	kontrolsuz	kontrolsyz
mydɑhɑleDA	mydɑhɑlete	mydɑhɑlede
menfɑɑtH	menfɑɑtɯ	menfɑɑti
pɑhɑlHA	pɑhɑluɑ	pɑhɑlɯɑ
tɑpuDA	tɑputɑ	tɑpudɑ
belkiDA	belkite	belkide
bildirmAH	bildirmɑɯ	bildirmei
dɯʃɑrɯDAki	dɯʃɑrɯtɑki	dɯʃɑrɯdɑki
sɯrɑDAki	sɯrɑdeki	sɯrɑdɑki
vɑtɑndɑʃlArmHzA	vɑtɑndɑʃlermize	vɑtɑndɑʃlɑrmɯzɑ
jɑʃlHlArDA	jɑʃlilerde	jɑʃlɯlɑrdɑ
bilmAnHz	bilmɑnɯz	bilmeniz
suDAki	sutɑki	sudɑki
jelpɑzeDA	jelpɑzete	jelpɑzede
ɑrɑmHzA	ɑrɑmize	ɑrɑmɯzɑ
bɑʃvurDHklArH	bɑʃvurdykleri	bɑʃvurduklɑrɯ
dereʤeDAki	dereʤeteki	dereʤedeki
mɑhkemeDA	mɑhkemete	mɑhkemede
ortɑDAki	ortɑdeki	ortɑdɑki
pɑrtiDA	pɑrtite	pɑrtide
tɑrifeDA	tɑrifete	tɑrifede
ujgulɑDHklArH	ujgulɑtɯklɑrɯ	ujgulɑdɯklɑrɯ
ujkuDA	ujkutɑ	ujkudɑ
ɑlkolHn	ɑlkolun	ɑlkolyn
ɑskɯDA	ɑskɯtɑ	ɑskɯdɑ
bɑtɯDAki	bɑtɯtɑki	bɑtɯdɑki
hekimlArHHn	hekimlɑrɯɯn	hekimleriin
kɑrʃɯDAn	kɑrʃɯtɑn	kɑrʃɯdɑn
solDAki	soldeki	soldɑki
tɑʃɯmADA	tɑʃɯmɑdɑ	tɑʃɯmɑtɑ
yniteDA	ynitete	ynitede
yniversiteDAki	yniversiteteki	yniversitedeki
ɑnlɑmADA	ɑnlɑmɑdɑ	ɑnlɑmɑtɑ
bulDHklArH	buldykleri	bulduklɑrɯ
gereksinimlArHHn	gereksinimlɑrɯɯn	gereksinimleriin
ileriDAki	ileriteki	ilerideki
biʧimlArHHn	biʧimlɑrɯɯn	biʧimleriin
bilgiDAn	bilgiten	bilgiden
deɰiʃmADAn	deɰiʃmeten	deɰiʃmeden
gɑjrimenkulHn	gɑjrimenkulun	gɑjrimenkulyn
hɑjɑtDAki	hɑjɑtteki	hɑjɑttɑki
seneDAn	seneten	seneden
tɑsɑrɯDA	tɑsɑrɯtɑ	tɑsɑrɯdɑ
teknoloʒiDAki	teknoloʒiteki	teknoloʒideki
ɑʃɑɰɯDAn	ɑʃɑɰɯtɑn	ɑʃɑɰɯdɑn
hɑngilArHHn	hɑngilɑrɯɯn	hɑngileriin
klɑvjeDAn	klɑvjeten	klɑvjeden
minerɑlH	minerɑlɯ	minerɑli
minerɑllArHn	minerɑllɑrɯn	minerɑllerin
olAʤAklArH	oleʤekleri	olɑʤɑklɑrɯ
progrɑmDAki	progrɑmdeki	progrɑmdɑki
søzleʃmeDAn	søzleʃmeten	søzleʃmeden
sɑɑtHHn	sɑɑtɯɯn	sɑɑtiin
sɑntrɑllAr	sɑntrɑllɑr	sɑntrɑller
ulɑʃAbilmAH	ulɑʃɑbilmɑɯ	ulɑʃɑbilmei
bɑʃlɑDHklArH	bɑʃlɑtɯklɑrɯ	bɑʃlɑdɯklɑrɯ
bulDHkʧA	buldykʧe	buldukʧɑ
dengeDA	dengete	dengede
geliʃmAHHn	geliʃmɑɯɯn	geliʃmeiin
kontrolDAn	kontroldɑn	kontrolden
okʧHlHk	okʧilik	okʧuluk
sunDHklArH	sundykleri	sunduklɑrɯ
tekliflArHHn	tekliflɑrɯɯn	teklifleriin
tutɑrlHlHk	tutɑrlilik	tutɑrlɯlɯk
dileDHklArH	diletikleri	diledikleri
kɯjɯDA	kɯjɯtɑ	kɯjɯdɑ
siteDAki	siteteki	sitedeki
vergiDAn	vergiten	vergiden
bytʧeDA	bytʧete	bytʧede
ʤɑnlHlArH	ʤɑnlileri	ʤɑnlɯlɑrɯ
dyzenlAnHp	dyzenlɑnɯp	dyzenlenip
geʧirmAH	geʧirmɑɯ	geʧirmei
hɑrflArHn	hɑrflɑrɯn	hɑrflerin
hɑjɑllAr	hɑjɑllɑr	hɑjɑller
iʃleDHklArH	iʃletikleri	iʃledikleri
kɑlDHkDAn	kɑltɯktɑn	kɑldɯktɑn
oturDHklArH	oturdykleri	oturduklɑrɯ
pɑrtilArHHn	pɑrtilɑrɯɯn	pɑrtileriin
ujgulɑmADA	ujgulɑmɑdɑ	ujgulɑmɑtɑ
ʧɑlɯʃAbilmAH	ʧɑlɯʃɑbilmɑɯ	ʧɑlɯʃɑbilmei
devɑmlHlHk	devɑmlilik	devɑmlɯlɯk
dosjɑDAki	dosjɑdeki	dosjɑdɑki
geʧirmADAn	geʧirmeten	geʧirmeden
iʧeriDAn	iʧeriten	iʧeriden
kɑbulA	kɑbulɑ	kɑbule
niteliklArHHn	niteliklɑrɯɯn	nitelikleriin
jønergeDA	jønergete	jønergede
jɑpɯDAn	jɑpɯtɑn	jɑpɯdɑn
jetkilArHHn	jetkilɑrɯɯn	jetkileriin
ødeDHklArH	ødetikleri	ødedikleri
