Word	UF	SF	Freq
katsellen	kɑtsellen	kɑtsellen	107
murtamaan	murtɑmAAn	murtɑmɑɑn	104
pukeutuu	pukeUtUU	pukeutuu	103
ympäristömerkin	ympæristømerkin	ympæristømerkin	103
löytäneensä	løytæneensA	løytæneensæ	102
olympiajoukkueen	olympiɑjoukkueen	olympiɑjoukkueen	101
tunnelia	tunneliA	tunneliɑ	100
koulutettavien	koulutettAvien	koulutettɑvien	99
junia	juniA	juniɑ	98
matkakulujen	mɑtkɑkulujen	mɑtkɑkulujen	97
ideologisia	ideologisiA	ideologisiɑ	96
kilpailutetaan	kilpɑilUtetAAn	kilpɑilutetɑɑn	96
sotarikoksista	sotɑrikoksistA	sotɑrikoksistɑ	96
pyöritetään	pyøritetAAn	pyøritetææn	95
joosefin	joosefin	joosefin	94
eduskuntavaaleja	eduskuntɑvɑɑlejA	eduskuntɑvɑɑlejɑ	92
hetkellinen	hetkellinen	hetkellinen	90
helmassa	helmɑssA	helmɑssɑ	88
kuvana	kuvɑnA	kuvɑnɑ	88
omistautua	omistɑutuA	omistɑutuɑ	88
sinetti	sinetti	sinetti	88
viimeistelyssä	viimeistelUssA	viimeistelyssæ	88
venäläisjoukkojen	venælæisjoukkojen	venælæisjoukkojen	87
päinvastaiseksi	pæinvɑstɑiseksi	pæinvɑstɑiseksi	85
vanhenemiseen	vɑnhenemiseen	vɑnhenemiseen	84
luontotyypin	luontotyypin	luontotyypin	82
loukkuun	loukkuUn	loukkuun	81
sipoossa	sipoossA	sipoossɑ	81
tilaansa	tilɑAnsA	tilɑɑnsɑ	81
mongolian	mongoliɑn	mongoliɑn	79
kokkolasta	kokkolɑstA	kokkolɑstɑ	78
suojele	suojele	suojele	77
kemiaan	kemiɑAn	kemiɑɑn	76
alakanttiin	ɑlɑkɑnttiin	ɑlɑkɑnttiin	75
oikeampi	oikeɑmpi	oikeɑmpi	75
yhdeksättä	yhdeksættA	yhdeksættæ	75
rotko	rotko	rotko	74
ehdotuksiamme	ehdotUksiAmme	ehdotuksiɑmme	73
selviämme	selviAmme	selviæmme	71
helppoutta	helppoUttA	helppouttɑ	69
kyproksessa	kyproksessA	kyproksessɑ	67
lopputuloksissa	lopputuloksissA	lopputuloksissɑ	67
yrityskohtaiset	yritUskohtɑiset	yrityskohtɑiset	67
erikoisjoukot	erikoisjoukot	erikoisjoukot	66
hammashoitoon	hɑmmɑshoitoOn	hɑmmɑshoitoon	63
sarparanta	sɑrpɑrɑntɑ	sɑrpɑrɑntɑ	62
katselemme	kɑtselemme	kɑtselemme	61
kultamitali	kultɑmitɑli	kultɑmitɑli	61
kummasteli	kummɑsteli	kummɑsteli	61
pätevänä	pætevAnA	pætevænæ	61
ruoppauksen	ruoppɑUksen	ruoppɑuksen	61
palkatut	pɑlkɑtUt	pɑlkɑtut	60
totuuksien	totuuksien	totuuksien	60
kapteenina	kɑpteeninA	kɑpteeninɑ	59
siveltimen	siveltimen	siveltimen	59
neuvonnalla	neuvonnɑllA	neuvonnɑllɑ	57
mediatapahtuma	mediɑtɑpɑhtumɑ	mediɑtɑpɑhtumɑ	56
osioista	osioistA	osioistɑ	56
tulkitsemme	tulkitsemme	tulkitsemme	56
kara	kɑrɑ	kɑrɑ	55
käytännöllisyyttä	kæytænnøllisUUttA	kæytænnøllisyyttæ	54
lukiolaisen	lukiolɑisen	lukiolɑisen	54
lämmitin	læmmitin	læmmitin	54
pressin	pressin	pressin	54
aikuisväestöstä	ɑikuisvæestøstA	ɑikuisvæestøstæ	53
jumbo	jumbo	jumbo	53
jäänevät	jæænevAt	jæænevæt	53
kaatuisi	kɑɑtuisi	kɑɑtuisi	53
huippukokouksia	huippukokouksiA	huippukokouksiɑ	52
nuoruustyypin	nuorUUstyypin	nuoruustyypin	51
reumaa	reumɑA	reumɑɑ	50
uhkasta	uhkɑstA	uhkɑstɑ	50
budjettivaroista	budjettivɑroistA	budjettivɑroistɑ	49
puheenjohtajakokoukselle	puheenjohtɑjAkokoukselle	puheenjohtɑjɑkokoukselle	49
skitsofrenia	skitsofreniɑ	skitsofreniɑ	49
keraaminen	kerɑɑminen	kerɑɑminen	48
kuuntelisi	kuuntelisi	kuuntelisi	48
turvallisuusneuvostoon	turvɑllisUUsneuvostoOn	turvɑllisuusneuvostoon	48
katolilaiset	kɑtolilɑiset	kɑtolilɑiset	47
olki	olki	olki	47
tartumme	tɑrtumme	tɑrtumme	47
estäjä	estæjA	estæjæ	46
kovempaan	kovempAAn	kovempɑɑn	46
moosekselle	moosekselle	moosekselle	46
shanghaissa	shɑnghɑissA	shɑnghɑissɑ	46
ajojen	ɑjojen	ɑjojen	45
katoilla	kɑtoillA	kɑtoillɑ	45
peitellään	peitellAAn	peitellææn	45
roomalaiskirjeen	roomɑlɑiskirjeen	roomɑlɑiskirjeen	45
kenraalieversti	kenrɑɑlieversti	kenrɑɑlieversti	44
määrittelisi	mæærittelisi	mæærittelisi	44
pienennettiin	pienennettiin	pienennettiin	44
folk	folk	folk	43
tulojaan	tulojAAn	tulojɑɑn	43
työttömiin	tyøttOmiin	tyøttømiin	43
ylhäältäpäin	ylhææltApæin	ylhææltæpæin	43
tilinpäätöstietojen	tilinpæætøstietojen	tilinpæætøstietojen	42
avausraita	ɑvɑUsrɑitɑ	ɑvɑusrɑitɑ	41
euroseteleiden	euroseteleiden	euroseteleiden	41
joulukorttien	joulukorttien	joulukorttien	41
musiikissaan	musiikissAAn	musiikissɑɑn	41
naapurikuntiin	nɑɑpurikuntiin	nɑɑpurikuntiin	41
palkansaajilla	pɑlkɑnsɑɑjillA	pɑlkɑnsɑɑjillɑ	41
rippikirjat	rippikirjɑt	rippikirjɑt	41
mongoliassa	mongoliɑssA	mongoliɑssɑ	40
saumaa	sɑumɑA	sɑumɑɑ	40
lomituksen	lomitUksen	lomituksen	39
dortmundissa	dortmundissA	dortmundissɑ	37
iltalehdessä	iltɑlehdessA	iltɑlehdessæ	37
korjausavustukset	korjɑUsɑvustUkset	korjɑusɑvustukset	37
liikuntavammaisille	liikuntAvɑmmɑisille	liikuntɑvɑmmɑisille	37
pituisiksi	pituisiksi	pituisiksi	37
sidottuina	sidottUinA	sidottuinɑ	37
vähistä	væhistA	væhistæ	37
keräämän	kerææmAn	kerææmæn	36
rokotetut	rokotetUt	rokotetut	35
sotarikolliset	sotɑrikolliset	sotɑrikolliset	35
sumea	sumeɑ	sumeɑ	35
uudenaikaistaa	uudenɑikɑistɑA	uudenɑikɑistɑɑ	35
varmuudesta	vɑrmUUdestA	vɑrmuudestɑ	35
kaatopaikkajätteen	kɑɑtopɑikkɑjætteen	kɑɑtopɑikkɑjætteen	34
kansallispuolueen	kɑnsɑllispuolueen	kɑnsɑllispuolueen	34
purjehtinut	purjehtinUt	purjehtinut	34
tarjoavaa	tɑrjoɑvAA	tɑrjoɑvɑɑ	34
vapaaehtoistyöntekijät	vɑpɑAehtoistyøntekijæt	vɑpɑɑehtoistyøntekijæt	34
aikoneet	ɑikoneet	ɑikoneet	33
tehdyiksi	tehdUiksi	tehdyiksi	33
erimielisyytemme	erimielisUUtemme	erimielisyytemme	32
liittoutunut	liittoutunUt	liittoutunut	32
meriliikenteessä	meriliikenteessA	meriliikenteessæ	32
mielenterveyspalveluja	mielenterveUspɑlvelUjA	mielenterveyspɑlvelujɑ	32
ääninäytteitä	ææninæytteitA	ææninæytteitæ	32
ambulanssia	ɑmbulɑnssiA	ɑmbulɑnssiɑ	31
hankkimia	hɑnkkimiA	hɑnkkimiɑ	31
huolellisuudella	huolellisUUdellA	huolellisuudellɑ	31
ikaalislainen	ikɑɑlislAinen	ikɑɑlislɑinen	31
kitkettävä	kitkettAvA	kitkettævæ	31
otetaankin	otetAAnkin	otetɑɑnkin	31
uhkaillaan	uhkɑillAAn	uhkɑillɑɑn	31
kasvuennusteet	kɑsvuennusteet	kɑsvuennusteet	30
kuppiin	kuppiin	kuppiin	30
raamien	rɑɑmien	rɑɑmien	30
tihkusadetta	tihkusɑdettA	tihkusɑdettɑ	30
uhista	uhistA	uhistɑ	30
viljatuotteet	viljɑtuotteet	viljɑtuotteet	30
muistonsa	muistonsA	muistonsɑ	29
sovelluksien	sovellUksien	sovelluksien	29
juoksutetaan	juoksutetAAn	juoksutetɑɑn	28
korottaisi	korottɑisi	korottɑisi	28
kuvistaan	kuvistAAn	kuvistɑɑn	28
käsitettiin	kæsitettiin	kæsitettiin	28
luulevan	luulevAn	luulevɑn	28
kovettaa	kovettɑA	kovettɑɑ	27
lainmuutokset	lɑinmuutokset	lɑinmuutokset	27
vastustajamme	vɑstustɑjAmme	vɑstustɑjɑmme	27
vuokrattavista	vuokrɑttAvistA	vuokrɑttɑvistɑ	27
ratian	rɑtiɑn	rɑtiɑn	26
sytyttämään	sytyttAmAAn	sytyttæmææn	26
terroristiryhmä	terroristiryhmæ	terroristiryhmæ	26
turkulaisessa	turkulAisessA	turkulɑisessɑ	26
karhunpalvelus	kɑrhunpɑlvelus	kɑrhunpɑlvelus	25
kelpoisuusvaatimuksia	kelpoisUUsvɑɑtimuksiA	kelpoisuusvɑɑtimuksiɑ	25
kirkkoherranviraston	kirkkoherrɑnvirɑston	kirkkoherrɑnvirɑston	25
kohteliaisuuksia	kohteliɑisUUksiA	kohteliɑisuuksiɑ	25
manchesterissa	mɑnkhesterissA	mɑnkhesterissɑ	25
edustajanaan	edustAjɑnɑAn	edustɑjɑnɑɑn	24
erotetulla	erotetUllA	erotetullɑ	24
monikulttuuriseen	monikulttuuriseen	monikulttuuriseen	24
multimediaesitys	multimediɑesitUs	multimediɑesitys	24
murentua	murentuA	murentuɑ	24
parhaimmasta	pɑrhɑimmAstA	pɑrhɑimmɑstɑ	24
poijut	poijut	poijut	24
teollisuudenaloista	teollisUUdenɑloistA	teollisuudenɑloistɑ	24
työllisyyskehityksen	tyøllisUUskehitUksen	tyøllisyyskehityksen	24
vaativimmista	vɑɑtivimmistA	vɑɑtivimmistɑ	24
varaedustaja	vɑrɑedustɑjA	vɑrɑedustɑjɑ	24
verokiilan	verokiilɑn	verokiilɑn	24
erorahaston	erorɑhɑston	erorɑhɑston	23
foorumille	foorumille	foorumille	23
huntua	huntuA	huntuɑ	23
jäsenkuntaan	jæsenkuntɑAn	jæsenkuntɑɑn	23
pakolaisasema	pɑkolɑisɑsemɑ	pɑkolɑisɑsemɑ	23
asianosaisena	ɑsiɑnosɑisenA	ɑsiɑnosɑisenɑ	22
avaamasta	ɑvɑɑmAstA	ɑvɑɑmɑstɑ	22
erityistehtäviin	erityistehtæviin	erityistehtæviin	22
harrastuksessaan	hɑrrɑstUksessAAn	hɑrrɑstuksessɑɑn	22
heikkouksistaan	heikkoUksistAAn	heikkouksistɑɑn	22
hienostuneesti	hienostuneesti	hienostuneesti	22
höystää	høystæA	høystææ	22
ilmaisulle	ilmɑisUlle	ilmɑisulle	22
listautuminen	listɑutuminen	listɑutuminen	22
purjehtijan	purjehtijAn	purjehtijɑn	22
rauhankehityksen	rɑuhɑnkehitUksen	rɑuhɑnkehityksen	22
sikanen	sikɑnen	sikɑnen	22
toimintasuunnitelmassaan	toimintAsuunnitelmɑssAAn	toimintɑsuunnitelmɑssɑɑn	22
toteutusaika	toteutUsɑikɑ	toteutusɑikɑ	22
valitusoikeuden	vɑlitUsoikeUden	vɑlitusoikeuden	22
kohtamaan	kohtɑmɑɑn	kohtɑmɑɑn	21
laboratorioinsinööri	lɑborɑtorioinsinøøri	lɑborɑtorioinsinøøri	21
luutunut	luutunUt	luutunut	21
meluhaitta	meluhɑittA	meluhɑittɑ	21
näsijärvestä	næsijærvestA	næsijærvestæ	21
ostamat	ostɑmAt	ostɑmɑt	21
piikkiöläisen	piikkiølAisen	piikkiølæisen	21
piiraita	piirɑitɑ	piirɑitɑ	21
poikastuotanto	poikɑstuotɑnto	poikɑstuotɑnto	21
röntgenlaitteen	røntgenlɑitteen	røntgenlɑitteen	21
santarmien	sɑntɑrmien	sɑntɑrmien	21
stipendeistä	stipendeistA	stipendeistæ	21
tuuraa	tuurɑA	tuurɑɑ	21
harkitsemattomia	hɑrkitsemAttOmiA	hɑrkitsemɑttomiɑ	20
honkahovin	honkɑhovin	honkɑhovin	20
irrotettavan	irrotettAvAn	irrotettɑvɑn	20
merkkituotteiden	merkkituotteiden	merkkituotteiden	20
noudatellen	noudɑtellen	noudɑtellen	20
näkemyksistämme	nækemyksistAmme	nækemyksistæmme	20
päivitettyjä	pæivitettUjA	pæivitettyjæ	20
surivat	surivAt	surivɑt	20
talouspaperit	tɑlouspɑperit	tɑlouspɑperit	20
teollistuneet	teollistUneet	teollistuneet	20
tiedonsaantioikeuden	tiedonsɑɑntioikeUden	tiedonsɑɑntioikeuden	20
täpötäysi	tæpøtæysi	tæpøtæysi	20
vehkeitä	vehkeitA	vehkeitæ	20
housun	housun	housun	19
kulkeeko	kulkeekO	kulkeeko	19
leikkaussaliin	leikkɑUssɑliin	leikkɑussɑliin	19
peittoaa	peittoɑA	peittoɑɑ	19
silfverberg	silfverberg	silfverberg	19
suomenruotsalaisia	suomenruotsɑlɑisiA	suomenruotsɑlɑisiɑ	19
syyteharkinta	syytehɑrkintA	syytehɑrkintɑ	19
toimitustyöhön	toimitUstyøhOn	toimitustyøhøn	19
ulospäinsuuntautunut	ulospæinsuuntɑutunut	ulospæinsuuntɑutunut	19
hongalle	hongɑlle	hongɑlle	18
kehittäjiin	kehittæjiin	kehittæjiin	18
kumoutuu	kumoutuU	kumoutuu	18
neuvontapalveluihin	neuvontɑpɑlvelUihin	neuvontɑpɑlveluihin	18
nimiroolin	nimiroolin	nimiroolin	18
nostavaa	nostɑvAA	nostɑvɑɑ	18
odotuksille	odotUksille	odotuksille	18
virheeni	virheeni	virheeni	18
yllättävässä	yllættAvAssA	yllættævæssæ	18
arvonmääritys	ɑrvonmææritUs	ɑrvonmææritys	17
boori	boori	boori	17
henkäyksen	henkæyksen	henkæyksen	17
istumapaikka	istumApɑikkɑ	istumɑpɑikkɑ	17
kerrosneliömetrin	kerrosneliømetrin	kerrosneliømetrin	17
kokeilevia	kokeileviA	kokeileviɑ	17
liittovaltioiden	liittovɑltioiden	liittovɑltioiden	17
lumikko	lumikko	lumikko	17
luutuneita	luutuneitA	luutuneitɑ	17
pikkusiskonsa	pikkusiskonsA	pikkusiskonsɑ	17
rauhasten	rɑuhɑsten	rɑuhɑsten	17
tapaukselle	tɑpɑUkselle	tɑpɑukselle	17
toimintavuottaan	toimintAvuottAAn	toimintɑvuottɑɑn	17
ammattiauttajia	ɑmmɑttiɑuttɑjiA	ɑmmɑttiɑuttɑjiɑ	16
aurausta	ɑurɑUstA	ɑurɑustɑ	16
haudutettu	hɑudutettU	hɑudutettu	16
hylsyihin	hylsyihin	hylsyihin	16
kali	kɑli	kɑli	16
oraat	orɑɑt	orɑɑt	16
otettavalle	otettAvAlle	otettɑvɑlle	16
raidoista	rɑidoistA	rɑidoistɑ	16
rokottamalla	rokottɑmAllA	rokottɑmɑllɑ	16
sotasaaliiksi	sotɑsɑɑliiksi	sotɑsɑɑliiksi	16
valitusosoituksen	vɑlitUsosoitUksen	vɑlitusosoituksen	16
vastaantuloa	vɑstɑAntuloA	vɑstɑɑntuloɑ	16
äänestäneeni	æænestæneeni	æænestæneeni	16
jumbona	jumbonA	jumbonɑ	15
lonkkamurtuman	lonkkɑmurtumɑn	lonkkɑmurtumɑn	15
psykoottisia	psykoottisiA	psykoottisiɑ	15
seikaksi	seikɑksi	seikɑksi	15
särkikalojen	særkikɑlojen	særkikɑlojen	15
äärioikeistolaisuuden	æærioikeistolɑisUUden	æærioikeistolɑisuuden	15
eliölajeille	eliølɑjeille	eliølɑjeille	14
intohimoisena	intohimoisenA	intohimoisenɑ	14
jäänmurtajien	jæænmurtɑjien	jæænmurtɑjien	14
kansainvälisenkin	kɑnsɑinvælisenkin	kɑnsɑinvælisenkin	14
kuusituntinen	kuusituntinen	kuusituntinen	14
motivoivaksi	motivoivAksi	motivoivɑksi	14
palvelumuodon	pɑlvelUmuodon	pɑlvelumuodon	14
pelastustehtäviin	pelɑstUstehtæviin	pelɑstustehtæviin	14
päätyyppiin	pæætyyppiin	pæætyyppiin	14
raportoinnilla	rɑportoinnillA	rɑportoinnillɑ	14
rentouttamaan	rentouttɑmAAn	rentouttɑmɑɑn	14
söderholmin	søderholmin	søderholmin	14
tulkkipalvelu	tulkkipɑlvelU	tulkkipɑlvelu	14
työssäkin	tyøssAkin	tyøssækin	14
vaellan	vɑellɑn	vɑellɑn	14
valjastamista	vɑljɑstɑmistA	vɑljɑstɑmistɑ	14
vastaanottonsa	vɑstɑAnottonsA	vɑstɑɑnottonsɑ	14
vähimmäistasoja	væhimmæistɑsojA	væhimmæistɑsojɑ	14
yleispätevän	yleispætevAn	yleispætevæn	14
aiottuja	ɑiottUjA	ɑiottujɑ	13
humussa	humussA	humussɑ	13
inkarnaatio	inkɑrnɑɑtio	inkɑrnɑɑtio	13
kaunotarta	kɑunotɑrtA	kɑunotɑrtɑ	13
keskuskirjastona	keskuskirjɑstonA	keskuskirjɑstonɑ	13
kohentamalla	kohentAmAllA	kohentɑmɑllɑ	13
kokonaisratkaisuihin	kokonɑisrɑtkɑisUihin	kokonɑisrɑtkɑisuihin	13
laatijaksi	lɑɑtijAksi	lɑɑtijɑksi	13
lapsuusmuistot	lɑpsuusmuistot	lɑpsuusmuistot	13
loiskis	loiskis	loiskis	13
lomarakennusta	lomɑrɑkennUstA	lomɑrɑkennustɑ	13
mitalisijoista	mitɑlisijoistA	mitɑlisijoistɑ	13
peltinen	peltinen	peltinen	13
saaliisiin	sɑɑliisiin	sɑɑliisiin	13
sivuseinät	sivuseinæt	sivuseinæt	13
sopimuskorotuksista	sopimuskorotUksistA	sopimuskorotuksistɑ	13
terveyspäivän	terveUspæivæn	terveyspæivæn	13
toteutuskelpoisia	toteutUskelpoisiA	toteutuskelpoisiɑ	13
väestönlaskennan	væestønlɑskennAn	væestønlɑskennɑn	13
ajanmukaisuudesta	ɑjɑnmukɑisUUdestA	ɑjɑnmukɑisuudestɑ	12
alalajia	ɑlɑlɑjiA	ɑlɑlɑjiɑ	12
hameeseen	hɑmeeseen	hɑmeeseen	12
hovinheimon	hovinheimon	hovinheimon	12
hyvitettävä	hyvitettAvA	hyvitettævæ	12
höyrykattila	høyrykɑttilɑ	høyrykɑttilɑ	12
jokavuotisia	jokAvuotisiA	jokɑvuotisiɑ	12
jouluruoat	jouluruoɑt	jouluruoɑt	12
kalaniemen	kɑlɑniemen	kɑlɑniemen	12
kiimassa	kiimɑssA	kiimɑssɑ	12
kohenemisen	kohenemisen	kohenemisen	12
kristiinankaupungista	kristiinɑnkɑupungistA	kristiinɑnkɑupungistɑ	12
kylpyhuoneesta	kylpyhuoneestA	kylpyhuoneestɑ	12
kyyjärveltä	kyyjærveltA	kyyjærveltæ	12
lastenteatteri	lɑstenteɑtteri	lɑstenteɑtteri	12
lehterin	lehterin	lehterin	12
luonnehdittava	luonnehdittAvA	luonnehdittɑvɑ	12
mielipidekyselyyn	mielipidekyselUUn	mielipidekyselyyn	12
minimivaatimusten	minimivɑɑtimusten	minimivɑɑtimusten	12
neuvontatoimistoon	neuvontɑtoimistoOn	neuvontɑtoimistoon	12
opiskelijamääriä	opiskelijAmææriA	opiskelijɑmææriæ	12
rintamasotilastunnusta	rintɑmɑsotilɑstunnustA	rintɑmɑsotilɑstunnustɑ	12
sähkönsaanti	sæhkønsɑɑnti	sæhkønsɑɑnti	12
taistelukoneiden	tɑistelUkoneiden	tɑistelukoneiden	12
tarttuvaan	tɑrttuvAAn	tɑrttuvɑɑn	12
tasokkuus	tɑsokkUUs	tɑsokkuus	12
tipin	tipin	tipin	12
vaalikeskustelua	vɑɑlikeskustelUA	vɑɑlikeskusteluɑ	12
villasukkia	villɑsukkiA	villɑsukkiɑ	12
epäuskottavan	epæuskottAvAn	epæuskottɑvɑn	11
hokemia	hokemiA	hokemiɑ	11
huolisi	huolisi	huolisi	11
huoltotöihin	huoltotøihin	huoltotøihin	11
kalanviljelylaitoksissa	kɑlɑnviljelUlɑitoksissA	kɑlɑnviljelylɑitoksissɑ	11
kunnianarvoisalle	kunniɑnɑrvoisɑlle	kunniɑnɑrvoisɑlle	11
käytösrangaistuksen	kæytøsrɑngɑistuksen	kæytøsrɑngɑistuksen	11
langetettujen	lɑngetettUjen	lɑngetettujen	11
luomisvoiman	luomisvoimɑn	luomisvoimɑn	11
metsämannut	metsæmɑnnut	metsæmɑnnut	11
oikeaoppisuuden	oikeɑoppisUUden	oikeɑoppisuuden	11
ongelmaluotot	ongelmɑluotot	ongelmɑluotot	11
otsasta	otsɑstA	otsɑstɑ	11
paikallisjunalla	pɑikɑllisjunɑllA	pɑikɑllisjunɑllɑ	11
peitetyksi	peitetUksi	peitetyksi	11
syliisi	syliisi	syliisi	11
teatterisalin	teɑtterisɑlin	teɑtterisɑlin	11
verillä	verillA	verillæ	11
verrokkeja	verrokkejA	verrokkejɑ	11
vesikon	vesikon	vesikon	11
vihollisiamme	vihollisiAmme	vihollisiɑmme	11
allergisuus	ɑllergisUUs	ɑllergisuus	10
arabiemiirikunnissa	ɑrɑbiemiirikunnissA	ɑrɑbiemiirikunnissɑ	10
efedriinin	efedriinin	efedriinin	10
eilat	eilɑt	eilɑt	10
hallinnonaloja	hɑllinnonɑlojA	hɑllinnonɑlojɑ	10
hypoteettisia	hypoteettisiA	hypoteettisiɑ	10
irrotettavaa	irrotettAvAA	irrotettɑvɑɑ	10
juoksuttivat	juoksuttivAt	juoksuttivɑt	10
kattaneen	kɑttɑneen	kɑttɑneen	10
keräämäni	kerææmAni	kerææmæni	10
kestävyydestään	kestævUUdestAAn	kestævyydestææn	10
kimpale	kimpɑle	kimpɑle	10
kotioloista	kotioloistA	kotioloistɑ	10
kuljetusmäärät	kuljetUsmææræt	kuljetusmææræt	10
laukkaamaan	lɑukkɑɑmAAn	lɑukkɑɑmɑɑn	10
metsäkauriin	metsækɑuriin	metsækɑuriin	10
naamiota	nɑɑmiotA	nɑɑmiotɑ	10
nettoaa	nettoɑA	nettoɑɑ	10
osastonaan	osɑstonAAn	osɑstonɑɑn	10
pengerkatu	pengerkɑtu	pengerkɑtu	10
pesimärauha	pesimArɑuhɑ	pesimærɑuhɑ	10
päätynee	pæætynee	pæætynee	10
rauhallisempaan	rɑuhɑllisempAAn	rɑuhɑllisempɑɑn	10
rekisterinpitäjät	rekisterinpitæjAt	rekisterinpitæjæt	10
savilahdentie	sɑvilɑhdentie	sɑvilɑhdentie	10
sekajätteiden	sekɑjætteiden	sekɑjætteiden	10
siimasta	siimɑstA	siimɑstɑ	10
säästöistään	sææstøistAAn	sææstøistææn	10
teheraniin	teherɑniin	teherɑniin	10
tekijöineen	tekijøineen	tekijøineen	10
trooppiseen	trooppiseen	trooppiseen	10
valmistusvaiheissa	vɑlmistUsvɑiheissA	vɑlmistusvɑiheissɑ	10
varastohallin	vɑrɑstohɑllin	vɑrɑstohɑllin	10
yksityisautoja	yksityisɑutojA	yksityisɑutojɑ	10
ympäristömerkinnät	ympæristømerkinnAt	ympæristømerkinnæt	10
ahdistetun	ɑhdistetUn	ɑhdistetun	9
ajosuuntaa	ɑjosuuntɑA	ɑjosuuntɑɑ	9
elämänkertoja	elæmAnkertojA	elæmænkertojɑ	9
